STRUCTURE,ITERATION,COMPLETION_TIME
G1_constraint_114.csv,0,652.929531
G1_constraint_218.csv,2,652.921279
G1_constraint_279.csv,1,652.920025
G1_constraint_279.csv,0,712.143697
G1_constraint_144.csv,0,652.923771
G1_constraint_420.csv,0,681.944802
G1_constraint_114.csv,4,652.952677
G1_constraint_031.csv,2,652.965826
G1_constraint_144.csv,2,652.923747
G1_constraint_144.csv,3,652.922364
G1_constraint_101.csv,0,652.976615
G1_constraint_386.csv,4,756.498702
G1_constraint_097.csv,2,652.920289
G1_constraint_469.csv,1,711.626046
G1_constraint_218.csv,4,667.606990
G1_constraint_031.csv,3,657.311248
G1_constraint_279.csv,2,652.920703
G1_constraint_386.csv,1,661.510558
G1_constraint_097.csv,3,683.089141
G1_constraint_411.csv,2,662.120007
G1_constraint_279.csv,3,674.419064
G1_constraint_420.csv,2,749.317154
G1_constraint_031.csv,1,652.938912
G1_constraint_218.csv,0,654.265306
G1_constraint_386.csv,2,759.644738
G1_constraint_169.csv,2,706.553391
G1_constraint_114.csv,1,652.921754
G1_constraint_094.csv,4,653.022609
G1_constraint_409.csv,3,725.115280
G1_constraint_104.csv,0,676.236017
G1_constraint_169.csv,1,749.138782
G1_constraint_414.csv,3,652.966076
G1_constraint_218.csv,1,652.939725
G1_constraint_031.csv,0,652.929433
G1_constraint_420.csv,3,697.063820
G1_constraint_144.csv,1,652.920950
G1_constraint_386.csv,0,652.994635
G1_constraint_420.csv,1,652.922461
G1_constraint_100.csv,1,652.955308
G1_constraint_469.csv,4,764.216985
G1_constraint_413.csv,1,652.921773
G1_constraint_386.csv,3,653.107699
G1_constraint_218.csv,3,652.927994
G1_constraint_411.csv,4,652.922045
G1_constraint_100.csv,4,652.928453
G1_constraint_409.csv,1,652.921820
G1_constraint_097.csv,1,652.923376
G1_constraint_353.csv,2,673.069968
G1_constraint_357.csv,0,652.946938
G1_constraint_104.csv,3,718.363171
G1_constraint_201.csv,4,682.644571
G1_constraint_411.csv,0,753.762362
G1_constraint_144.csv,4,705.301732
G1_constraint_169.csv,3,677.663004
G1_constraint_279.csv,4,652.942407
G1_constraint_114.csv,3,652.935480
G1_constraint_414.csv,1,652.920640
G1_constraint_031.csv,4,652.930246
G1_constraint_097.csv,0,674.466913
G1_constraint_097.csv,4,697.333216
G1_constraint_100.csv,0,661.540836
G1_constraint_114.csv,2,652.940734
G1_constraint_201.csv,2,724.048458
G1_constraint_420.csv,4,660.057961
G1_constraint_169.csv,0,711.665974
G1_constraint_357.csv,1,652.923281
G1_constraint_104.csv,2,704.813192
G1_constraint_101.csv,2,652.920999
G1_constraint_469.csv,0,652.921019
G1_constraint_353.csv,1,735.848183
G1_constraint_467.csv,0,652.924058
G1_constraint_353.csv,3,692.385152
G1_constraint_409.csv,4,683.916979
G1_constraint_414.csv,0,652.920853
G1_constraint_467.csv,1,652.931343
G1_constraint_409.csv,2,652.928090
G1_constraint_490.csv,3,652.968711
G1_constraint_169.csv,4,683.922072
G1_constraint_104.csv,1,652.925497
G1_constraint_411.csv,3,739.667624
G1_constraint_409.csv,0,652.920274
G1_constraint_353.csv,4,744.432820
G1_constraint_469.csv,3,711.295525
G1_constraint_094.csv,0,683.039642
G1_constraint_101.csv,1,652.924882
G1_constraint_353.csv,0,675.137899
G1_constraint_201.csv,0,652.946539
G1_constraint_104.csv,4,712.479258
G1_constraint_483.csv,1,652.960664
G1_constraint_288.csv,4,681.261272
G1_constraint_239.csv,2,652.927408
G1_constraint_467.csv,3,652.941234
G1_constraint_467.csv,4,652.923510
G1_constraint_413.csv,0,652.921377
G1_constraint_100.csv,2,652.942578
G1_constraint_414.csv,2,652.964957
G1_constraint_101.csv,3,702.740804
G1_constraint_413.csv,2,652.923614
G1_constraint_094.csv,3,652.959475
G1_constraint_288.csv,1,712.325257
G1_constraint_357.csv,4,652.936492
G1_constraint_239.csv,4,652.936836
G1_constraint_414.csv,4,652.925825
G1_constraint_288.csv,3,693.665591
G1_constraint_239.csv,3,652.944693
G1_constraint_201.csv,3,652.929622
G1_constraint_357.csv,2,652.957832
G1_constraint_239.csv,0,679.158340
G1_constraint_100.csv,3,679.117542
G1_constraint_490.csv,0,669.213812
G1_constraint_094.csv,1,698.362435
G1_constraint_467.csv,2,652.977804
G1_constraint_469.csv,2,762.776992
G1_constraint_490.csv,4,652.927346
G1_constraint_490.csv,2,652.926800
G1_constraint_201.csv,1,749.550250
G1_constraint_490.csv,1,652.923731
G1_constraint_411.csv,1,652.945082
G1_constraint_413.csv,4,652.956269
G1_constraint_094.csv,2,652.920520
G1_constraint_357.csv,3,652.921271
G1_constraint_483.csv,0,652.925570
G1_constraint_288.csv,0,744.908992
G1_constraint_413.csv,3,652.946067
G1_constraint_288.csv,2,652.922614
G1_constraint_239.csv,1,652.932996
G1_constraint_101.csv,4,701.183437
G1_constraint_429.csv,2,693.735439
G1_constraint_315.csv,0,652.947007
G1_constraint_441.csv,4,652.973817
G1_constraint_334.csv,1,652.923873
G1_constraint_197.csv,4,675.510821
G1_constraint_441.csv,1,703.129318
G1_constraint_315.csv,4,653.034169
G1_constraint_334.csv,3,702.181133
G1_constraint_441.csv,2,754.549784
G1_constraint_452.csv,3,652.931508
G1_constraint_315.csv,3,652.945217
G1_constraint_226.csv,3,652.925976
G1_constraint_197.csv,3,652.930956
G1_constraint_197.csv,1,652.928309
G1_constraint_441.csv,0,743.297661
G1_constraint_135.csv,4,652.958767
G1_constraint_397.csv,2,652.937139
G1_constraint_226.csv,4,652.929009
G1_constraint_483.csv,2,653.001447
G1_constraint_365.csv,0,652.922644
G1_constraint_429.csv,4,655.226300
G1_constraint_429.csv,1,705.293763
G1_constraint_365.csv,4,674.263051
G1_constraint_226.csv,1,652.960357
G1_constraint_102.csv,1,702.109869
G1_constraint_242.csv,0,690.835532
G1_constraint_452.csv,0,677.101443
G1_constraint_397.csv,4,652.926999
G1_constraint_135.csv,2,652.923143
G1_constraint_365.csv,3,653.001893
G1_constraint_441.csv,3,752.391892
G1_constraint_212.csv,1,652.922621
G1_constraint_226.csv,2,652.952215
G1_constraint_197.csv,0,705.361041
G1_constraint_429.csv,3,652.921216
G1_constraint_197.csv,2,652.981366
G1_constraint_494.csv,1,684.696651
G1_constraint_334.csv,4,652.932275
G1_constraint_452.csv,4,663.478755
G1_constraint_226.csv,0,652.941842
G1_constraint_196.csv,4,652.935068
G1_constraint_315.csv,2,652.949534
G1_constraint_365.csv,2,663.877214
G1_constraint_242.csv,3,678.432701
G1_constraint_135.csv,3,652.927893
G1_constraint_141.csv,3,734.286303
G1_constraint_135.csv,0,652.928009
G1_constraint_365.csv,1,652.955114
G1_constraint_315.csv,1,652.927065
G1_constraint_141.csv,2,652.926766
G1_constraint_494.csv,4,735.867692
G1_constraint_483.csv,4,668.628384
G1_constraint_483.csv,3,652.977400
G1_constraint_334.csv,2,673.838416
G1_constraint_452.csv,2,652.923441
G1_constraint_397.csv,0,652.927955
G1_constraint_291.csv,3,652.932972
G1_constraint_141.csv,4,690.200991
G1_constraint_212.csv,3,652.931913
G1_constraint_242.csv,1,731.945239
G1_constraint_242.csv,4,661.910335
G1_constraint_452.csv,1,675.562196
G1_constraint_429.csv,0,710.302383
G1_constraint_397.csv,1,652.929322
G1_constraint_494.csv,3,737.287567
G1_constraint_102.csv,2,709.572993
G1_constraint_334.csv,0,674.411495
G1_constraint_212.csv,2,700.603518
G1_constraint_141.csv,0,652.956458
G1_constraint_135.csv,1,652.921811
G1_constraint_102.csv,0,754.501833
G1_constraint_061.csv,4,652.920981
G1_constraint_278.csv,2,652.931486
G1_constraint_397.csv,3,652.922657
G1_constraint_310.csv,4,652.925044
G1_constraint_247.csv,0,655.429259
G1_constraint_247.csv,3,697.081023
G1_constraint_494.csv,2,696.119286
G1_constraint_242.csv,2,687.612171
G1_constraint_494.csv,0,744.515740
G1_constraint_212.csv,0,747.125345
G1_constraint_310.csv,3,653.051173
G1_constraint_247.csv,4,712.816112
G1_constraint_196.csv,1,714.278875
G1_constraint_141.csv,1,723.760837
G1_constraint_291.csv,2,652.924769
G1_constraint_207.csv,0,652.920545
G1_constraint_247.csv,2,652.987627
G1_constraint_196.csv,0,701.914487
G1_constraint_291.csv,0,704.436178
G1_constraint_061.csv,3,703.168921
G1_constraint_435.csv,0,694.391953
G1_constraint_074.csv,3,652.922698
G1_constraint_102.csv,3,682.096033
G1_constraint_102.csv,4,708.166086
G1_constraint_291.csv,4,652.996890
