STRUCTURE,ITERATION,COMPLETION_TIME
G1_grand_735_1.csv,2,664.135142
G1_grand_735_6.csv,2,663.879770
G1_grand_735_6.csv,4,666.477239
G1_grand_735_6.csv,0,661.809270
G1_grand_735_6.csv,3,666.844565
G1_grand_735_1.csv,1,661.688401
G1_grand_735_1.csv,0,662.480815
G1_grand_927_0.csv,3,661.568365
G1_grand_735_1.csv,4,672.184311
G1_grand_735_6.csv,1,665.942635
G1_grand_735_1.csv,3,663.635484
G1_grand_927_0.csv,4,661.086036
G1_grand_179_0.csv,0,669.096495
G1_grand_179_0.csv,3,693.019186
G1_grand_179_0.csv,2,687.046816
G1_grand_179_0.csv,4,692.316589
G1_grand_927_0.csv,1,673.767608
G1_grand_927_0.csv,2,666.746165
G1_grand_927_0.csv,0,658.062298
G1_grand_179_0.csv,1,673.956379
G1_grand_598_0.csv,4,693.964843
G1_grand_598_0.csv,1,701.983721
G1_grand_598_0.csv,3,680.544933
G1_grand_179_1.csv,0,677.348170
G1_grand_179_1.csv,4,693.420810
G1_grand_179_1.csv,3,675.201523
G1_grand_179_1.csv,2,666.288157
G1_grand_179_1.csv,1,660.122528
G1_grand_562_0.csv,1,664.247795
G1_grand_598_0.csv,2,689.930521
G1_grand_139_0.csv,3,683.912856
G1_grand_562_0.csv,3,667.634080
G1_grand_000_0.csv,1,655.528726
G1_grand_000_0.csv,0,656.957768
G1_grand_598_0.csv,0,705.030982
G1_grand_562_0.csv,0,685.585273
G1_grand_000_0.csv,3,654.876973
G1_grand_139_0.csv,0,705.038706
G1_grand_139_0.csv,4,696.998808
G1_grand_730_1.csv,4,705.908420
G1_grand_000_0.csv,4,656.174338
G1_grand_139_0.csv,1,672.443150
G1_grand_000_0.csv,2,659.514913
G1_grand_562_0.csv,2,669.870335
G1_grand_730_1.csv,2,709.985370
G1_grand_139_0.csv,2,701.449836
G1_grand_730_1.csv,1,716.284388
G1_grand_730_1.csv,3,696.141805
G1_grand_562_0.csv,4,662.281263
G1_grand_730_1.csv,0,713.351629
G1_grand_025_0.csv,4,669.999874
G1_grand_075_1.csv,4,653.955473
G1_grand_025_0.csv,3,693.841173
G1_grand_025_0.csv,1,670.797120
