STRUCTURE,ITERATION,COMPLETION_TIME
G1_grand_139_0.csv,0,969.016610
G1_grand_139_0.csv,1,937.624672
G1_grand_598_0.csv,4,860.815540
G1_grand_179_1.csv,0,860.738886
G1_grand_598_0.csv,3,976.028713
G1_grand_139_0.csv,2,1061.685311
G1_grand_598_0.csv,1,954.273479
G1_grand_139_0.csv,3,903.751596
G1_grand_735_6.csv,2,835.923987
G1_grand_735_6.csv,4,810.555412
G1_grand_927_0.csv,0,854.660967
G1_grand_735_6.csv,3,847.956585
G1_grand_179_0.csv,0,930.593987
G1_grand_598_0.csv,0,967.245578
G1_grand_139_0.csv,4,851.113348
G1_grand_735_1.csv,3,822.957518
G1_grand_179_1.csv,2,950.505992
G1_grand_598_0.csv,2,1022.842416
G1_grand_000_0.csv,4,804.384777
G1_grand_059_0.csv,0,1144.045810
G1_grand_179_0.csv,2,1082.237398
G1_grand_059_0.csv,2,1089.429280
G1_grand_735_1.csv,0,805.451204
G1_grand_735_1.csv,2,824.894116
G1_grand_179_0.csv,4,963.723885
G1_grand_059_0.csv,4,1092.843050
G1_grand_059_0.csv,1,1104.017222
G1_grand_996_0.csv,1,923.287994
G1_grand_179_1.csv,3,1013.029649
G1_grand_735_6.csv,0,912.794322
G1_grand_105_3.csv,2,971.676718
G1_grand_927_0.csv,2,930.872262
G1_grand_562_0.csv,3,875.935238
G1_grand_179_0.csv,1,898.686355
G1_grand_075_1.csv,1,1070.878541
G1_grand_000_0.csv,2,804.455910
G1_grand_000_0.csv,3,852.332446
G1_grand_075_1.csv,4,862.956966
G1_grand_540_0.csv,1,1058.667423
G1_grand_771_1.csv,1,1078.207627
G1_grand_025_0.csv,3,923.190469
G1_grand_730_1.csv,0,888.971995
G1_grand_105_3.csv,1,983.886583
G1_grand_008_1.csv,4,873.388611
G1_grand_179_1.csv,1,1062.127719
G1_grand_008_1.csv,2,907.604087
G1_grand_059_0.csv,3,1108.919457
G1_grand_996_0.csv,3,1046.579080
G1_grand_771_1.csv,0,924.250978
G1_grand_179_0.csv,3,1018.473401
G1_grand_735_1.csv,4,799.432348
G1_grand_025_0.csv,4,928.920014
G1_grand_105_3.csv,0,978.456576
G1_grand_075_1.csv,2,845.424960
G1_grand_927_0.csv,4,883.527952
G1_grand_000_0.csv,0,803.215069
G1_grand_730_1.csv,4,860.332474
G1_grand_000_0.csv,1,806.476673
G1_grand_562_0.csv,2,819.757861
G1_grand_735_1.csv,1,827.997722
G1_grand_075_1.csv,3,884.057027
G1_grand_996_0.csv,2,895.063416
G1_grand_771_1.csv,3,1111.008966
G1_grand_996_0.csv,4,1002.844447
G1_grand_025_0.csv,2,1027.806346
G1_grand_008_1.csv,3,890.089330
G1_grand_771_1.csv,2,1033.737946
G1_grand_008_1.csv,1,862.406762
G1_grand_105_3.csv,4,854.899543
G1_grand_179_1.csv,4,805.598318
G1_grand_062_0.csv,3,1071.220447
G1_grand_996_0.csv,0,967.202469
G1_grand_562_0.csv,1,958.539205
G1_grand_025_0.csv,1,864.625222
G1_grand_219_1.csv,0,1013.395276
G1_grand_062_0.csv,2,992.820102
G1_grand_075_1.csv,0,890.056090
G1_grand_008_1.csv,0,868.639187
G1_grand_735_6.csv,1,842.472173
G1_grand_771_1.csv,4,1054.147027
G1_grand_927_0.csv,3,865.115685
G1_grand_025_0.csv,0,922.478209
G1_grand_927_0.csv,1,941.812362
G1_grand_219_1.csv,1,1005.356488
G1_grand_105_3.csv,3,1046.054496
G1_grand_730_1.csv,3,1035.183664
G1_grand_540_0.csv,0,1113.042511
G1_grand_562_0.csv,4,983.757888
G1_grand_730_1.csv,2,1058.497671
