STRUCTURE,ITERATION,COMPLETION_TIME
G1_grand_124_4.csv,1,914.674417
G1_grand_308_1.csv,2,988.052331
G1_grand_308_1.csv,0,995.215129
G1_grand_308_1.csv,4,937.188820
G1_grand_105_3.csv,0,668.378615
G1_grand_105_3.csv,4,690.991798
G1_grand_105_3.csv,1,677.623830
G1_grand_105_3.csv,2,671.988301
G1_grand_105_3.csv,3,665.628486
G1_grand_124_4.csv,0,913.577979
G1_grand_308_1.csv,3,965.164219
G1_grand_308_1.csv,1,973.934804
G1_grand_124_4.csv,2,917.768314
G1_grand_179_0.csv,0,820.515271
G1_grand_179_0.csv,1,951.140736
G1_grand_179_0.csv,3,925.364064
G1_grand_179_0.csv,2,969.454793
G1_grand_179_0.csv,4,971.476098
G1_grand_075_1.csv,3,709.735778
G1_grand_075_1.csv,1,742.216841
G1_grand_025_0.csv,0,852.326850
G1_grand_771_1.csv,0,978.738235
G1_grand_025_0.csv,4,880.386797
G1_grand_025_0.csv,3,894.717684
G1_grand_771_1.csv,2,963.322620
G1_grand_025_0.csv,2,836.253983
G1_grand_771_1.csv,1,933.277116
G1_grand_062_0.csv,2,716.235422
G1_grand_771_1.csv,3,946.398239
G1_grand_219_1.csv,3,756.204568
G1_grand_025_0.csv,1,872.045084
G1_grand_771_1.csv,4,952.302627
G1_grand_735_1.csv,0,746.446983
G1_grand_219_1.csv,1,881.088643
G1_grand_124_4.csv,4,924.419904
G1_grand_735_1.csv,1,813.949469
G1_grand_219_1.csv,0,907.002037
G1_grand_062_0.csv,0,697.072658
G1_grand_062_0.csv,4,695.960011
G1_grand_219_1.csv,2,912.336711
G1_grand_735_1.csv,2,757.434891
G1_grand_975_0.csv,2,868.781526
G1_grand_975_0.csv,1,834.266945
G1_grand_975_0.csv,0,857.896920
G1_grand_219_1.csv,4,920.580776
G1_grand_975_0.csv,3,860.869550
G1_grand_975_0.csv,4,822.338663
G1_grand_735_6.csv,2,901.555576
G1_grand_735_6.csv,1,791.952851
G1_grand_008_1.csv,1,749.928880
G1_grand_008_1.csv,4,719.738770
G1_grand_735_1.csv,3,828.521253
G1_grand_139_0.csv,0,885.060947
G1_grand_996_0.csv,0,727.677233
G1_grand_179_1.csv,0,862.640497
G1_grand_075_1.csv,2,728.793616
G1_grand_735_1.csv,4,896.092029
G1_grand_139_0.csv,1,884.672253
G1_grand_179_1.csv,1,938.666799
G1_grand_308_0.csv,1,956.443725
G1_grand_075_1.csv,4,742.478301
G1_grand_139_0.csv,2,964.520995
G1_grand_075_1.csv,0,700.019659
G1_grand_308_0.csv,3,985.915987
G1_grand_139_0.csv,3,878.644392
G1_grand_179_1.csv,2,920.609054
G1_grand_735_6.csv,3,857.874527
G1_grand_735_6.csv,4,873.176143
G1_grand_179_1.csv,3,927.035498
G1_grand_735_6.csv,0,845.444784
G1_grand_179_1.csv,4,777.116184
G1_grand_598_0.csv,0,937.489602
G1_grand_598_0.csv,3,944.739659
G1_grand_598_0.csv,4,933.460908
G1_grand_598_0.csv,2,901.941946
G1_grand_062_0.csv,1,707.782705
G1_grand_008_1.csv,0,734.739660
G1_grand_927_0.csv,0,887.263019
G1_grand_008_1.csv,2,747.432498
G1_grand_062_0.csv,3,681.120852
G1_grand_124_2.csv,3,912.390696
G1_grand_562_0.csv,1,913.149408
G1_grand_562_0.csv,3,888.223704
G1_grand_562_0.csv,4,886.881263
G1_grand_008_1.csv,3,779.097107
G1_grand_124_4.csv,3,907.699521
G1_grand_308_0.csv,0,968.796550
G1_grand_927_0.csv,3,821.923874
G1_grand_124_2.csv,2,918.346615
G1_grand_139_0.csv,4,902.576806
G1_grand_308_0.csv,2,970.093567
G1_grand_996_0.csv,2,729.248887
G1_grand_598_0.csv,1,925.934812
G1_grand_124_2.csv,4,903.277497
G1_grand_308_0.csv,4,952.008096
G1_grand_540_0.csv,2,866.435491
G1_grand_540_0.csv,3,880.118713
G1_grand_540_0.csv,0,905.227923
G1_grand_540_0.csv,1,887.502085
G1_grand_000_0.csv,2,683.021587
G1_grand_996_0.csv,3,738.200372
G1_grand_996_0.csv,1,694.935219
G1_grand_540_0.csv,4,893.843273
G1_grand_730_1.csv,0,925.975985
G1_grand_927_0.csv,1,830.175129
G1_grand_927_0.csv,2,852.266459
G1_grand_996_0.csv,4,719.939502
G1_grand_730_1.csv,3,956.620508
G1_grand_730_1.csv,2,933.225442
G1_grand_730_1.csv,1,998.659266
G1_grand_927_0.csv,4,870.808501
G1_grand_124_2.csv,1,914.966889
G1_grand_562_0.csv,0,910.593596
G1_grand_562_0.csv,2,911.511185
G1_grand_059_0.csv,2,830.352540
G1_grand_059_0.csv,3,823.025610
G1_grand_000_0.csv,0,714.699087
G1_grand_000_0.csv,4,692.213370
G1_grand_845_1.csv,1,959.159093
G1_grand_845_1.csv,0,962.529316
G1_grand_845_1.csv,4,919.623597
G1_grand_124_2.csv,0,943.727586
G1_grand_000_0.csv,1,709.594923
G1_grand_845_1.csv,3,922.545566
G1_grand_000_0.csv,3,681.038814
G1_grand_715_1.csv,3,923.976311
G1_grand_059_0.csv,0,847.295975
G1_grand_610_0.csv,3,804.955194
G1_grand_845_1.csv,2,928.169822
G1_grand_610_0.csv,2,770.855203
G1_grand_106_1.csv,2,865.106334
G1_grand_106_1.csv,0,838.780755
G1_grand_106_1.csv,3,893.842123
G1_grand_715_1.csv,1,923.992210
G1_grand_106_1.csv,4,863.330224
G1_grand_715_1.csv,0,940.070586
G1_grand_730_1.csv,4,954.255419
G1_grand_715_1.csv,2,946.615343
G1_grand_150_0.csv,0,975.363297
G1_grand_150_0.csv,3,990.673198
G1_grand_051_0.csv,2,845.129940
G1_grand_150_0.csv,4,960.240602
G1_grand_150_0.csv,1,954.318389
G1_grand_051_0.csv,3,789.058114
G1_grand_262_1.csv,0,690.636448
G1_grand_150_0.csv,2,949.093694
G1_grand_051_0.csv,4,830.403071
G1_grand_051_0.csv,1,761.747571
G1_grand_059_0.csv,1,825.684552
G1_grand_262_1.csv,1,724.887532
G1_grand_262_1.csv,3,804.048060
G1_grand_059_0.csv,4,824.281389
G1_grand_408_1.csv,0,726.882725
G1_grand_539_1.csv,2,985.480168
G1_grand_106_1.csv,1,873.566411
G1_grand_408_1.csv,3,822.534910
G1_grand_539_1.csv,0,898.879056
G1_grand_539_1.csv,1,959.756651
G1_grand_408_1.csv,4,721.706953
G1_grand_346_0.csv,1,914.497345
G1_grand_408_1.csv,2,715.633792
G1_grand_715_1.csv,4,934.791875
G1_grand_346_0.csv,3,881.197694
G1_grand_346_0.csv,4,896.713837
G1_grand_346_0.csv,2,882.153217
G1_grand_539_1.csv,3,924.775371
G1_grand_346_0.csv,0,894.980218
G1_grand_539_1.csv,4,950.007812
G1_grand_610_0.csv,0,794.481399
G1_grand_610_0.csv,4,790.450870
G1_grand_579_1.csv,4,756.971620
G1_grand_610_0.csv,1,762.870851
G1_grand_078_0.csv,3,894.427961
G1_grand_078_0.csv,0,971.065775
G1_grand_579_1.csv,0,741.692318
G1_grand_051_0.csv,0,791.189667
G1_grand_029_0.csv,0,745.933323
G1_grand_262_1.csv,2,702.005111
G1_grand_029_0.csv,1,824.794478
G1_grand_579_1.csv,1,737.544482
G1_grand_029_0.csv,4,842.511010
G1_grand_262_1.csv,4,771.505829
G1_grand_579_1.csv,3,758.931606
G1_grand_579_1.csv,2,755.209326
G1_grand_029_0.csv,2,742.675769
G1_grand_078_0.csv,2,966.518077
G1_grand_408_1.csv,1,773.278996
G1_grand_200_3.csv,3,852.705967
G1_grand_200_3.csv,2,818.935549
G1_grand_200_3.csv,0,845.329762
G1_grand_200_3.csv,4,813.746847
G1_grand_440_1.csv,4,770.833986
G1_grand_440_1.csv,0,754.529908
G1_grand_440_1.csv,3,763.223998
G1_grand_941_0.csv,0,768.783369
G1_grand_941_0.csv,1,743.280286
G1_grand_440_1.csv,2,692.170250
G1_grand_941_0.csv,2,815.842792
G1_grand_440_1.csv,1,781.712856
G1_grand_236_1.csv,2,671.243278
G1_grand_150_1.csv,1,960.060745
G1_grand_360_0.csv,2,770.977915
G1_grand_150_1.csv,3,976.660714
G1_grand_360_0.csv,0,726.874962
