STRUCTURE,ITERATION,COMPLETION_TIME
G1_grand_025_0.csv,1,788.871514
G1_grand_179_0.csv,0,679.572043
G1_grand_025_0.csv,3,822.575468
G1_grand_062_0.csv,1,663.071215
G1_grand_927_0.csv,3,708.312287
G1_grand_062_0.csv,3,732.995426
G1_grand_179_0.csv,1,712.772739
G1_grand_219_1.csv,0,775.139915
G1_grand_062_0.csv,0,691.246380
G1_grand_075_1.csv,4,731.865221
G1_grand_025_0.csv,4,717.458380
G1_grand_179_0.csv,2,756.568533
G1_grand_062_0.csv,4,714.825915
G1_grand_062_0.csv,2,660.189647
G1_grand_139_0.csv,4,731.255580
G1_grand_025_0.csv,2,672.436894
G1_grand_562_0.csv,2,703.335422
G1_grand_219_1.csv,1,666.380563
G1_grand_735_1.csv,0,683.347406
G1_grand_124_2.csv,1,743.735245
G1_grand_598_0.csv,3,769.818415
G1_grand_735_6.csv,1,786.157731
G1_grand_139_0.csv,1,738.077035
G1_grand_008_1.csv,4,677.842687
G1_grand_025_0.csv,0,829.439191
G1_grand_105_3.csv,3,712.150053
G1_grand_735_1.csv,2,789.763631
G1_grand_139_0.csv,3,755.184839
G1_grand_927_0.csv,4,809.645024
G1_grand_139_0.csv,2,773.125027
G1_grand_219_1.csv,2,719.888559
G1_grand_598_0.csv,0,760.983158
G1_grand_179_0.csv,3,681.761360
G1_grand_540_0.csv,4,802.641454
G1_grand_927_0.csv,2,695.934521
G1_grand_219_1.csv,4,761.762330
G1_grand_927_0.csv,0,724.206932
G1_grand_735_1.csv,3,843.617446
G1_grand_179_1.csv,0,674.743782
G1_grand_562_0.csv,3,787.436310
G1_grand_735_1.csv,1,797.161683
G1_grand_598_0.csv,4,712.368058
G1_grand_771_1.csv,1,744.633821
G1_grand_075_1.csv,0,732.024574
G1_grand_105_3.csv,1,748.350505
G1_grand_735_1.csv,4,704.805884
G1_grand_735_6.csv,2,740.788971
G1_grand_771_1.csv,4,766.658709
G1_grand_598_0.csv,2,732.247362
G1_grand_075_1.csv,1,660.020721
G1_grand_308_1.csv,3,806.858348
G1_grand_219_1.csv,3,806.717581
G1_grand_308_0.csv,0,712.438286
G1_grand_179_0.csv,4,771.042990
G1_grand_308_0.csv,1,728.730428
G1_grand_540_0.csv,0,792.014494
G1_grand_008_1.csv,0,722.834348
G1_grand_562_0.csv,0,690.640526
G1_grand_562_0.csv,4,748.904227
G1_grand_735_6.csv,0,729.838435
G1_grand_975_0.csv,0,730.256612
G1_grand_540_0.csv,3,811.462009
G1_grand_735_6.csv,3,754.579409
G1_grand_000_0.csv,1,699.254758
G1_grand_771_1.csv,3,707.127738
G1_grand_308_1.csv,0,785.919402
G1_grand_996_0.csv,3,721.490137
G1_grand_771_1.csv,2,706.402085
G1_grand_000_0.csv,0,684.891097
G1_grand_562_0.csv,1,715.225527
G1_grand_179_1.csv,2,773.193100
G1_grand_735_6.csv,4,755.734264
G1_grand_124_2.csv,4,850.615036
G1_grand_598_0.csv,1,770.505261
G1_grand_771_1.csv,0,726.253444
G1_grand_105_3.csv,0,685.620240
