STRUCTURE,ITERATION,COMPLETION_TIME
G1_constraint_114.csv,1,16228.593123
G1_constraint_353.csv,0,15210.812375
G1_constraint_144.csv,1,16521.999845
G1_constraint_386.csv,3,14564.903356
G1_constraint_097.csv,2,14965.966069
G1_constraint_169.csv,4,16157.167133
G1_constraint_104.csv,1,15942.377806
G1_constraint_094.csv,1,14654.802710
G1_constraint_357.csv,3,15655.632211
G1_constraint_031.csv,2,14798.473497
G1_constraint_386.csv,1,15010.005890
G1_constraint_101.csv,0,15684.403021
G1_constraint_104.csv,0,14610.730382
G1_constraint_239.csv,4,14771.239277
G1_constraint_101.csv,1,15477.102694
G1_constraint_288.csv,1,14906.086408
G1_constraint_411.csv,3,15972.543994
G1_constraint_218.csv,4,14850.925748
G1_constraint_218.csv,3,15228.942487
G1_constraint_104.csv,4,16843.277265
G1_constraint_414.csv,3,14997.966102
G1_constraint_490.csv,2,15594.286005
G1_constraint_288.csv,2,14779.303987
G1_constraint_357.csv,4,15765.098943
G1_constraint_218.csv,1,15518.752662
G1_constraint_469.csv,3,14868.698318
G1_constraint_279.csv,2,14904.969805
G1_constraint_467.csv,2,14215.642475
G1_constraint_201.csv,1,14990.524944
G1_constraint_097.csv,1,13496.417773
G1_constraint_411.csv,0,15388.943839
G1_constraint_201.csv,3,15647.473442
G1_constraint_490.csv,0,15663.813031
G1_constraint_100.csv,4,18152.870478
G1_constraint_357.csv,0,14700.072884
G1_constraint_467.csv,0,14091.907330
G1_constraint_357.csv,2,15049.296543
G1_constraint_409.csv,3,15709.418612
G1_constraint_386.csv,4,15413.428443
G1_constraint_357.csv,1,15972.638366
G1_constraint_413.csv,4,15771.476060
G1_constraint_169.csv,3,14202.976772
G1_constraint_212.csv,4,14892.238200
G1_constraint_279.csv,1,15443.992134
G1_constraint_483.csv,1,15398.724838
G1_constraint_144.csv,0,15649.529087
G1_constraint_239.csv,3,16416.887255
G1_constraint_114.csv,3,15901.707263
G1_constraint_409.csv,4,16060.215187
G1_constraint_239.csv,2,16231.539410
G1_constraint_469.csv,4,16258.252616
G1_constraint_239.csv,1,17283.295145
G1_constraint_413.csv,1,16001.644126
G1_constraint_469.csv,2,15024.408416
G1_constraint_279.csv,4,14927.528222
G1_constraint_279.csv,3,15146.962907
G1_constraint_169.csv,1,14754.729133
G1_constraint_414.csv,4,14393.917998
G1_constraint_469.csv,1,14886.239169
G1_constraint_353.csv,3,15648.705214
G1_constraint_386.csv,2,16760.252950
G1_constraint_409.csv,0,16720.258630
G1_constraint_414.csv,0,14942.452379
G1_constraint_469.csv,0,17198.957886
G1_constraint_201.csv,2,16099.103101
G1_constraint_094.csv,2,16144.077295
G1_constraint_031.csv,4,14926.127725
G1_constraint_097.csv,0,15424.450191
G1_constraint_239.csv,0,13836.203095
G1_constraint_441.csv,3,17225.636062
G1_constraint_414.csv,1,15389.697715
G1_constraint_218.csv,2,14617.621362
G1_constraint_288.csv,0,15445.032771
G1_constraint_420.csv,2,15757.562103
G1_constraint_386.csv,0,16735.296475
G1_constraint_169.csv,0,14957.054214
G1_constraint_353.csv,4,15332.892777
G1_constraint_114.csv,4,16349.368107
G1_constraint_413.csv,3,14375.706919
G1_constraint_100.csv,2,16140.350501
G1_constraint_353.csv,2,14360.949908
G1_constraint_144.csv,4,16296.203988
G1_constraint_483.csv,0,14885.747664
G1_constraint_104.csv,2,15849.359899
G1_constraint_411.csv,2,16115.379056
G1_constraint_094.csv,0,14357.177194
G1_constraint_101.csv,3,14373.590844
G1_constraint_031.csv,0,16091.239335
G1_constraint_031.csv,3,16206.008707
G1_constraint_226.csv,3,15070.072533
G1_constraint_409.csv,1,14700.363163
G1_constraint_094.csv,4,15243.307320
G1_constraint_218.csv,0,14341.261389
G1_constraint_420.csv,3,16507.292412
G1_constraint_441.csv,2,16248.555835
G1_constraint_031.csv,1,14887.278226
G1_constraint_114.csv,2,15931.114625
