STRUCTURE,ITERATION,COMPLETION_TIME
G1_grand_735_6.csv,4,17781.720529
G1_grand_008_1.csv,1,16514.607512
G1_grand_771_1.csv,2,16878.970675
G1_grand_139_0.csv,0,16879.400204
G1_grand_219_1.csv,4,17150.361262
G1_grand_308_1.csv,1,17912.664756
G1_grand_540_0.csv,2,16766.277526
G1_grand_598_0.csv,1,17247.869091
G1_grand_179_0.csv,2,17429.507826
G1_grand_927_0.csv,0,15846.737517
G1_grand_598_0.csv,2,17776.774127
G1_grand_000_0.csv,3,16483.194176
G1_grand_308_1.csv,2,16619.035020
G1_grand_059_0.csv,4,16435.069269
G1_grand_735_1.csv,0,16883.952266
G1_grand_308_1.csv,4,17462.939959
G1_grand_562_0.csv,1,18257.677399
G1_grand_124_4.csv,0,17417.725082
G1_grand_105_3.csv,4,15520.713086
G1_grand_308_0.csv,2,17112.861836
G1_grand_735_1.csv,4,18185.905711
G1_grand_219_1.csv,0,16404.415252
G1_grand_730_1.csv,2,16264.480364
G1_grand_975_0.csv,2,14920.726448
G1_grand_927_0.csv,4,15432.554405
G1_grand_179_1.csv,2,17275.224549
G1_grand_735_6.csv,2,18816.527231
G1_grand_308_0.csv,3,17667.240662
G1_grand_598_0.csv,0,17519.902152
G1_grand_735_1.csv,1,17886.030860
G1_grand_715_1.csv,1,16033.933636
G1_grand_735_6.csv,3,17426.927331
G1_grand_000_0.csv,2,15932.227889
G1_grand_562_0.csv,0,16490.293424
G1_grand_771_1.csv,3,17039.983496
G1_grand_179_1.csv,1,15262.093173
G1_grand_927_0.csv,1,14564.943684
G1_grand_179_1.csv,4,15920.911668
G1_grand_062_0.csv,1,15096.895898
G1_grand_000_0.csv,1,15884.625158
G1_grand_735_1.csv,2,15988.402435
G1_grand_059_0.csv,1,15353.588283
G1_grand_996_0.csv,2,16460.617441
G1_grand_025_0.csv,0,17258.959707
G1_grand_771_1.csv,4,17368.576186
G1_grand_124_2.csv,2,15941.426288
G1_grand_008_1.csv,0,15751.842520
G1_grand_105_3.csv,2,17457.998527
G1_grand_025_0.csv,4,15995.236360
G1_grand_062_0.csv,3,15788.482951
G1_grand_105_3.csv,1,16432.390550
G1_grand_139_0.csv,1,16442.854743
G1_grand_139_0.csv,4,16190.095806
G1_grand_735_1.csv,3,18407.619526
G1_grand_771_1.csv,1,16962.678794
G1_grand_730_1.csv,1,17350.268590
G1_grand_927_0.csv,2,16045.140465
G1_grand_124_4.csv,4,16126.095463
G1_grand_975_0.csv,3,15092.403397
G1_grand_124_4.csv,2,16943.032121
G1_grand_062_0.csv,2,15335.048168
G1_grand_062_0.csv,4,15579.455036
G1_grand_139_0.csv,3,16253.460636
G1_grand_308_0.csv,4,16093.009754
G1_grand_124_2.csv,4,16693.917463
G1_grand_075_1.csv,2,16596.165329
G1_grand_124_2.csv,0,17397.094503
G1_grand_008_1.csv,3,15880.333968
G1_grand_150_0.csv,3,16697.209335
G1_grand_996_0.csv,3,15796.546194
G1_grand_730_1.csv,0,17220.255533
G1_grand_059_0.csv,0,15370.188014
G1_grand_025_0.csv,1,18262.053206
G1_grand_308_1.csv,0,15985.637188
G1_grand_730_1.csv,3,16702.865671
G1_grand_715_1.csv,4,17146.109812
G1_grand_025_0.csv,2,18541.338269
G1_grand_008_1.csv,4,15247.614710
G1_grand_771_1.csv,0,17478.433627
G1_grand_139_0.csv,2,16559.356959
G1_grand_008_1.csv,2,16324.358479
G1_grand_106_1.csv,1,16027.250222
G1_grand_262_1.csv,0,17099.052423
G1_grand_179_0.csv,0,16687.634421
G1_grand_106_1.csv,4,18134.590844
G1_grand_308_0.csv,1,15473.487900
G1_grand_025_0.csv,3,16850.289380
G1_grand_996_0.csv,1,17240.954940
G1_grand_975_0.csv,0,16678.464477
G1_grand_075_1.csv,4,16233.148638
G1_grand_000_0.csv,4,15648.604661
G1_grand_927_0.csv,3,14875.011112
G1_grand_219_1.csv,2,16755.801319
G1_grand_540_0.csv,0,16331.167382
G1_grand_610_0.csv,4,15217.949667
G1_grand_598_0.csv,4,18065.822242
G1_grand_051_0.csv,0,17279.714030
G1_grand_000_0.csv,0,16078.240466
G1_grand_106_1.csv,2,16113.426650
G1_grand_540_0.csv,1,16755.282229
G1_grand_124_4.csv,3,17175.459461
G1_grand_059_0.csv,2,16145.101402
G1_grand_715_1.csv,3,17641.739981
G1_grand_845_1.csv,1,15911.059483
G1_grand_219_1.csv,1,15143.540741
G1_grand_715_1.csv,2,16748.191889
G1_grand_540_0.csv,3,15863.379444
G1_grand_124_2.csv,3,15772.902826
G1_grand_539_1.csv,4,18471.224551
G1_grand_051_0.csv,4,16593.296476
G1_grand_610_0.csv,0,16449.045479
G1_grand_996_0.csv,0,16765.874915
G1_grand_179_0.csv,3,16217.141354
G1_grand_262_1.csv,3,17076.929301
G1_grand_579_1.csv,3,16836.640404
G1_grand_078_0.csv,2,15697.108547
G1_grand_941_0.csv,2,15781.845630
G1_grand_179_0.csv,4,16401.666237
G1_grand_308_0.csv,0,16617.883918
G1_grand_610_0.csv,1,15590.111061
G1_grand_075_1.csv,0,16393.520302
G1_grand_062_0.csv,0,16774.965964
G1_grand_845_1.csv,0,16216.540064
G1_grand_610_0.csv,3,15348.804668
G1_grand_106_1.csv,0,16345.022319
G1_grand_075_1.csv,3,15556.598308
G1_grand_346_0.csv,2,17541.872384
G1_grand_262_1.csv,1,16215.962280
G1_grand_562_0.csv,3,16689.342821
G1_grand_106_1.csv,3,16367.662585
G1_grand_150_1.csv,2,15165.592797
G1_grand_200_3.csv,0,17520.705053
G1_grand_996_0.csv,4,15134.001732
G1_grand_075_1.csv,1,15393.514899
G1_grand_975_0.csv,4,15970.680236
G1_grand_124_2.csv,1,16218.999035
G1_grand_845_1.csv,4,15249.866757
G1_grand_219_1.csv,3,16489.464646
G1_grand_051_0.csv,3,16633.260291
