STRUCTURE,ITERATION,COMPLETION_TIME
G1_grand_735_6.csv,2,652.993769
G1_grand_139_0.csv,4,652.922889
G1_grand_139_0.csv,3,653.073258
G1_grand_139_0.csv,0,653.130741
G1_grand_139_0.csv,2,653.094665
G1_grand_598_0.csv,3,653.025136
G1_grand_598_0.csv,1,652.931745
G1_grand_735_6.csv,4,653.047856
G1_grand_735_6.csv,3,652.944677
G1_grand_179_1.csv,1,652.931222
G1_grand_598_0.csv,4,652.943161
G1_grand_139_0.csv,1,653.386078
G1_grand_179_1.csv,0,652.974575
G1_grand_179_1.csv,2,652.944330
G1_grand_598_0.csv,0,653.398290
G1_grand_598_0.csv,2,652.995245
G1_grand_000_0.csv,0,653.023913
G1_grand_179_0.csv,2,653.054336
G1_grand_000_0.csv,3,652.928492
G1_grand_000_0.csv,2,653.109704
G1_grand_025_0.csv,3,653.022959
G1_grand_927_0.csv,3,652.958952
G1_grand_008_1.csv,2,652.929924
G1_grand_179_1.csv,4,652.981175
G1_grand_996_0.csv,1,653.042720
G1_grand_179_0.csv,3,653.031712
G1_grand_025_0.csv,2,652.939225
G1_grand_179_0.csv,0,653.129626
G1_grand_059_0.csv,1,653.397247
G1_grand_735_6.csv,1,653.022587
G1_grand_927_0.csv,4,652.927327
G1_grand_996_0.csv,4,653.372850
G1_grand_735_1.csv,2,653.112942
G1_grand_025_0.csv,0,653.488596
G1_grand_059_0.csv,4,653.745368
G1_grand_000_0.csv,4,652.969416
G1_grand_735_6.csv,0,652.984229
G1_grand_927_0.csv,2,653.098319
G1_grand_179_0.csv,4,653.019835
G1_grand_735_1.csv,3,653.098452
G1_grand_025_0.csv,4,652.934119
G1_grand_059_0.csv,3,653.811359
G1_grand_000_0.csv,1,652.922289
G1_grand_735_1.csv,1,652.990430
G1_grand_730_1.csv,3,652.946191
G1_grand_996_0.csv,3,652.981696
G1_grand_540_0.csv,2,653.053773
G1_grand_730_1.csv,0,653.604513
G1_grand_735_1.csv,4,653.124111
G1_grand_540_0.csv,3,653.195304
G1_grand_075_1.csv,1,652.934231
G1_grand_179_1.csv,3,652.934935
G1_grand_996_0.csv,2,653.472355
G1_grand_927_0.csv,1,652.933159
G1_grand_735_1.csv,0,653.044548
G1_grand_059_0.csv,2,653.551166
G1_grand_730_1.csv,4,653.158363
G1_grand_996_0.csv,0,652.920271
G1_grand_540_0.csv,1,653.005092
G1_grand_179_0.csv,1,652.966362
G1_grand_075_1.csv,2,653.098615
G1_grand_771_1.csv,0,653.220214
G1_grand_927_0.csv,0,652.933409
G1_grand_771_1.csv,2,653.166090
G1_grand_025_0.csv,1,653.638713
G1_grand_105_3.csv,1,653.512450
G1_grand_562_0.csv,3,652.970842
G1_grand_008_1.csv,1,653.072458
G1_grand_540_0.csv,0,653.339765
G1_grand_562_0.csv,4,652.964567
G1_grand_540_0.csv,4,653.372944
G1_grand_008_1.csv,3,653.279556
G1_grand_008_1.csv,0,652.945111
G1_grand_075_1.csv,3,653.650839
G1_grand_771_1.csv,3,653.359772
G1_grand_075_1.csv,4,653.090112
G1_grand_059_0.csv,0,653.012426
G1_grand_219_1.csv,3,653.174103
G1_grand_219_1.csv,1,653.503505
G1_grand_730_1.csv,1,652.935707
G1_grand_105_3.csv,4,653.121750
G1_grand_771_1.csv,4,654.250209
G1_grand_730_1.csv,2,653.835672
G1_grand_715_1.csv,1,653.482956
G1_grand_219_1.csv,2,653.080634
G1_grand_075_1.csv,0,653.142373
G1_grand_062_0.csv,4,652.935911
G1_grand_219_1.csv,0,653.018273
G1_grand_771_1.csv,1,653.525723
G1_grand_308_1.csv,0,653.960236
G1_grand_062_0.csv,2,652.976610
G1_grand_008_1.csv,4,653.170506
G1_grand_715_1.csv,0,653.613761
G1_grand_105_3.csv,0,653.043147
G1_grand_062_0.csv,1,653.028164
G1_grand_562_0.csv,0,652.998261
G1_grand_308_1.csv,4,654.038013
G1_grand_562_0.csv,2,652.931104
G1_grand_562_0.csv,1,652.966203
G1_grand_219_1.csv,4,653.057055
G1_grand_062_0.csv,0,652.960765
G1_grand_308_0.csv,0,652.932031
G1_grand_105_3.csv,2,653.087027
G1_grand_975_0.csv,0,653.665863
G1_grand_308_1.csv,2,653.745084
