STRUCTURE,ITERATION,COMPLETION_TIME
G1_grand_735_1.csv,0,775.056012
G1_grand_927_0.csv,3,765.171191
G1_grand_179_0.csv,0,852.468765
G1_grand_598_0.csv,2,803.304906
G1_grand_927_0.csv,4,763.829563
G1_grand_735_1.csv,4,728.299389
G1_grand_735_1.csv,1,810.506192
G1_grand_735_1.csv,2,731.015532
G1_grand_598_0.csv,4,808.697894
G1_grand_179_0.csv,1,778.694798
G1_grand_927_0.csv,2,754.776542
G1_grand_735_6.csv,0,765.893289
G1_grand_562_0.csv,1,810.462971
G1_grand_025_0.csv,1,781.581979
G1_grand_735_6.csv,3,700.667425
G1_grand_735_1.csv,3,757.244904
G1_grand_139_0.csv,1,830.563442
G1_grand_735_6.csv,2,771.051592
G1_grand_598_0.csv,0,845.464283
G1_grand_179_0.csv,4,746.246516
G1_grand_025_0.csv,3,763.862739
G1_grand_735_6.csv,4,756.484953
G1_grand_562_0.csv,4,815.179178
G1_grand_025_0.csv,2,773.715512
G1_grand_735_6.csv,1,802.787783
G1_grand_179_1.csv,3,856.592487
G1_grand_139_0.csv,3,804.268187
G1_grand_179_1.csv,0,731.833539
G1_grand_179_1.csv,2,836.053394
G1_grand_139_0.csv,4,790.059520
G1_grand_139_0.csv,2,813.242281
G1_grand_598_0.csv,3,847.762128
G1_grand_562_0.csv,2,780.812013
G1_grand_179_1.csv,1,762.696724
G1_grand_025_0.csv,0,831.665574
G1_grand_179_0.csv,3,837.223895
G1_grand_219_1.csv,4,780.782119
G1_grand_000_0.csv,1,781.829924
G1_grand_927_0.csv,0,795.471313
G1_grand_025_0.csv,4,731.414111
G1_grand_219_1.csv,1,780.354545
G1_grand_179_1.csv,4,839.533792
G1_grand_179_0.csv,2,812.234467
G1_grand_598_0.csv,1,797.365673
G1_grand_075_1.csv,3,686.861012
G1_grand_219_1.csv,2,734.529598
G1_grand_000_0.csv,0,734.226374
G1_grand_139_0.csv,0,800.168067
G1_grand_927_0.csv,1,775.791111
G1_grand_062_0.csv,4,705.167640
G1_grand_219_1.csv,0,756.066765
G1_grand_075_1.csv,4,710.848092
G1_grand_219_1.csv,3,748.934335
G1_grand_562_0.csv,0,793.494600
G1_grand_562_0.csv,3,770.875192
G1_grand_062_0.csv,1,756.442999
G1_grand_540_0.csv,2,826.782579
G1_grand_062_0.csv,3,668.092251
G1_grand_062_0.csv,0,688.433267
G1_grand_540_0.csv,0,739.251886
G1_grand_771_1.csv,3,856.002295
G1_grand_008_1.csv,2,705.311013
G1_grand_075_1.csv,0,672.511511
G1_grand_771_1.csv,0,826.320272
G1_grand_062_0.csv,2,674.051257
G1_grand_540_0.csv,1,807.295112
G1_grand_771_1.csv,1,752.805859
G1_grand_075_1.csv,2,709.317135
G1_grand_008_1.csv,3,693.815798
G1_grand_771_1.csv,4,806.594989
G1_grand_008_1.csv,4,679.736653
G1_grand_008_1.csv,1,670.279613
G1_grand_075_1.csv,1,736.878804
G1_grand_008_1.csv,0,715.131883
G1_grand_771_1.csv,2,815.360292
G1_grand_540_0.csv,4,764.188684
G1_grand_124_2.csv,4,796.909219
G1_grand_308_0.csv,3,813.219333
G1_grand_540_0.csv,3,818.874915
G1_grand_308_0.csv,4,809.860809
G1_grand_308_1.csv,2,851.185250
G1_grand_996_0.csv,3,720.155242
G1_grand_105_3.csv,1,669.883099
G1_grand_996_0.csv,4,729.060875
G1_grand_996_0.csv,1,729.823957
