STRUCTURE,ITERATION,COMPLETION_TIME
G1_constraint_279.csv,1,652.981774
G1_constraint_279.csv,2,652.930948
G1_constraint_279.csv,3,652.922237
G1_constraint_279.csv,0,652.946595
G1_constraint_114.csv,0,652.931817
G1_constraint_218.csv,3,652.943620
G1_constraint_218.csv,0,652.932552
G1_constraint_420.csv,0,652.928486
G1_constraint_386.csv,3,653.198640
G1_constraint_218.csv,2,652.935156
G1_constraint_114.csv,1,652.929720
G1_constraint_218.csv,4,652.928941
G1_constraint_218.csv,1,652.922373
G1_constraint_114.csv,3,652.933798
G1_constraint_031.csv,2,652.923039
G1_constraint_409.csv,4,653.029949
G1_constraint_031.csv,4,652.957855
G1_constraint_031.csv,1,652.927143
G1_constraint_101.csv,0,652.920232
G1_constraint_114.csv,2,652.920574
G1_constraint_420.csv,3,653.047067
G1_constraint_101.csv,4,652.949370
G1_constraint_104.csv,4,652.942069
G1_constraint_031.csv,0,652.931008
G1_constraint_114.csv,4,652.929461
G1_constraint_144.csv,1,652.937894
G1_constraint_490.csv,0,652.924042
G1_constraint_353.csv,2,652.926066
G1_constraint_353.csv,1,652.948537
G1_constraint_409.csv,0,653.009924
G1_constraint_169.csv,0,653.010034
G1_constraint_104.csv,1,652.996206
G1_constraint_279.csv,4,652.996903
G1_constraint_031.csv,3,652.934216
G1_constraint_097.csv,0,652.987026
G1_constraint_386.csv,0,652.947412
G1_constraint_409.csv,3,652.931568
G1_constraint_469.csv,2,653.352506
G1_constraint_101.csv,3,652.931064
G1_constraint_353.csv,4,653.155417
G1_constraint_169.csv,4,652.975314
G1_constraint_169.csv,2,652.932405
G1_constraint_469.csv,4,653.325645
G1_constraint_409.csv,1,652.955026
G1_constraint_097.csv,3,652.937828
G1_constraint_144.csv,2,652.928402
G1_constraint_144.csv,3,652.926774
G1_constraint_469.csv,1,652.920797
G1_constraint_490.csv,2,652.935741
G1_constraint_100.csv,4,652.928598
G1_constraint_169.csv,3,652.927049
G1_constraint_201.csv,2,652.950234
G1_constraint_094.csv,2,652.922903
G1_constraint_420.csv,2,652.934334
G1_constraint_357.csv,4,652.928986
G1_constraint_420.csv,4,652.938454
G1_constraint_101.csv,2,652.924070
G1_constraint_144.csv,0,652.961440
G1_constraint_144.csv,4,652.920273
G1_constraint_420.csv,1,653.044267
G1_constraint_097.csv,4,652.920303
G1_constraint_386.csv,1,652.921840
G1_constraint_469.csv,3,652.936253
G1_constraint_490.csv,3,652.936888
G1_constraint_239.csv,2,652.930699
G1_constraint_201.csv,0,652.921136
G1_constraint_483.csv,1,652.931682
G1_constraint_411.csv,1,652.929267
G1_constraint_101.csv,1,652.921446
G1_constraint_386.csv,2,652.925044
G1_constraint_414.csv,2,652.925403
G1_constraint_239.csv,4,652.940900
G1_constraint_411.csv,4,652.920634
G1_constraint_100.csv,3,652.962331
G1_constraint_201.csv,3,652.942984
G1_constraint_413.csv,4,652.936368
G1_constraint_411.csv,2,652.937496
G1_constraint_357.csv,0,652.927479
G1_constraint_094.csv,1,652.932612
G1_constraint_409.csv,2,652.922637
G1_constraint_288.csv,1,653.295096
G1_constraint_357.csv,2,652.948380
G1_constraint_094.csv,3,652.922156
G1_constraint_094.csv,4,652.920719
G1_constraint_467.csv,1,652.924118
G1_constraint_411.csv,3,652.921326
G1_constraint_104.csv,3,652.923945
G1_constraint_094.csv,0,652.920663
G1_constraint_469.csv,0,653.124130
G1_constraint_386.csv,4,652.993287
G1_constraint_357.csv,3,652.924099
G1_constraint_239.csv,1,652.921353
G1_constraint_467.csv,0,652.921725
G1_constraint_414.csv,0,652.924147
G1_constraint_490.csv,1,652.938797
G1_constraint_104.csv,2,652.955385
G1_constraint_357.csv,1,652.959247
G1_constraint_411.csv,0,653.062931
G1_constraint_100.csv,2,652.933100
G1_constraint_353.csv,0,652.922003
G1_constraint_097.csv,1,652.972327
G1_constraint_239.csv,3,652.922320
G1_constraint_413.csv,3,652.926326
G1_constraint_169.csv,1,652.972949
G1_constraint_100.csv,1,652.930962
G1_constraint_467.csv,2,652.944246
G1_constraint_353.csv,3,652.954769
G1_constraint_490.csv,4,652.928157
G1_constraint_467.csv,3,652.923649
G1_constraint_414.csv,4,652.955031
G1_constraint_288.csv,3,653.183928
G1_constraint_413.csv,1,652.960323
G1_constraint_413.csv,0,652.924834
G1_constraint_288.csv,4,653.078736
G1_constraint_483.csv,0,652.930984
G1_constraint_414.csv,1,652.926705
G1_constraint_201.csv,4,652.924980
G1_constraint_201.csv,1,652.951039
G1_constraint_104.csv,0,652.955103
G1_constraint_100.csv,0,652.942290
G1_constraint_288.csv,0,653.199804
G1_constraint_413.csv,2,652.922669
G1_constraint_288.csv,2,653.207752
G1_constraint_097.csv,2,652.963220
G1_constraint_414.csv,3,652.934234
G1_constraint_467.csv,4,652.937709
G1_constraint_239.csv,0,652.923435
G1_constraint_441.csv,3,653.484048
G1_constraint_441.csv,0,653.198015
G1_constraint_441.csv,2,652.926199
G1_constraint_441.csv,1,652.920955
G1_constraint_226.csv,0,652.926238
G1_constraint_483.csv,4,652.925552
G1_constraint_226.csv,4,652.951525
G1_constraint_197.csv,2,652.933184
G1_constraint_315.csv,2,652.947842
G1_constraint_226.csv,3,652.932657
G1_constraint_483.csv,2,652.966581
G1_constraint_315.csv,4,652.926300
G1_constraint_483.csv,3,652.964772
G1_constraint_197.csv,1,652.934298
G1_constraint_315.csv,0,652.937409
G1_constraint_226.csv,1,652.934607
G1_constraint_429.csv,4,652.935749
G1_constraint_135.csv,0,652.944119
G1_constraint_315.csv,1,652.959652
G1_constraint_441.csv,4,652.942706
G1_constraint_429.csv,2,653.029537
G1_constraint_315.csv,3,652.978526
G1_constraint_102.csv,3,652.926185
G1_constraint_429.csv,3,652.986888
G1_constraint_197.csv,3,652.920057
G1_constraint_494.csv,4,652.950519
G1_constraint_334.csv,1,652.949267
G1_constraint_135.csv,3,652.936372
G1_constraint_429.csv,1,652.921181
G1_constraint_135.csv,1,652.920638
G1_constraint_452.csv,3,652.931525
G1_constraint_334.csv,3,653.034597
G1_constraint_102.csv,0,652.927519
G1_constraint_197.csv,0,652.955798
G1_constraint_365.csv,1,652.927073
G1_constraint_334.csv,2,652.975632
G1_constraint_365.csv,3,652.922077
G1_constraint_291.csv,2,652.921870
G1_constraint_242.csv,0,653.086966
G1_constraint_310.csv,1,652.922896
G1_constraint_397.csv,3,652.928049
G1_constraint_397.csv,0,652.921038
G1_constraint_135.csv,2,652.921338
G1_constraint_135.csv,4,652.920737
G1_constraint_365.csv,4,652.947322
G1_constraint_494.csv,3,652.924659
G1_constraint_291.csv,0,652.929282
G1_constraint_310.csv,2,652.929783
