STRUCTURE,ITERATION,COMPLETION_TIME
G1_grand_735_6.csv,4,665.948217
G1_grand_735_6.csv,0,656.043238
G1_grand_735_6.csv,1,657.182644
G1_grand_735_6.csv,2,659.194407
G1_grand_735_6.csv,3,659.827121
G1_grand_735_1.csv,3,658.875081
G1_grand_927_0.csv,0,658.091750
G1_grand_735_1.csv,4,658.646441
G1_grand_735_1.csv,1,668.123785
G1_grand_735_1.csv,2,668.177002
G1_grand_927_0.csv,3,658.622914
G1_grand_735_1.csv,0,657.816882
G1_grand_927_0.csv,1,662.346899
G1_grand_598_0.csv,4,663.269641
G1_grand_927_0.csv,4,661.274255
G1_grand_179_0.csv,1,660.958158
G1_grand_179_1.csv,2,674.004943
G1_grand_927_0.csv,2,665.267355
G1_grand_598_0.csv,3,672.169902
G1_grand_179_0.csv,2,670.026540
G1_grand_730_1.csv,4,677.596570
G1_grand_598_0.csv,1,680.200720
G1_grand_179_1.csv,0,666.736994
G1_grand_179_0.csv,3,666.970230
G1_grand_179_1.csv,1,664.640363
G1_grand_000_0.csv,2,658.580728
G1_grand_000_0.csv,4,656.630697
G1_grand_179_0.csv,4,669.521372
G1_grand_179_0.csv,0,661.753081
G1_grand_000_0.csv,0,658.744407
G1_grand_562_0.csv,0,665.817365
G1_grand_562_0.csv,4,659.864038
G1_grand_139_0.csv,0,673.166499
G1_grand_139_0.csv,3,661.924905
G1_grand_598_0.csv,0,661.365070
G1_grand_598_0.csv,2,666.517119
G1_grand_179_1.csv,3,681.816149
G1_grand_179_1.csv,4,671.647997
G1_grand_562_0.csv,3,664.118244
G1_grand_562_0.csv,1,661.661572
G1_grand_139_0.csv,1,680.870873
G1_grand_000_0.csv,1,658.477989
G1_grand_000_0.csv,3,655.106599
G1_grand_139_0.csv,2,680.096877
G1_grand_730_1.csv,0,670.919023
G1_grand_139_0.csv,4,665.997882
G1_grand_562_0.csv,2,663.620100
G1_grand_730_1.csv,2,675.606080
G1_grand_730_1.csv,3,672.948610
G1_grand_730_1.csv,1,674.078073
