STRUCTURE,ITERATION,COMPLETION_TIME
G1_grand_996_0.csv,0,2695.707110
G1_grand_996_0.csv,1,2796.830909
G1_grand_735_1.csv,3,2676.507172
G1_grand_735_6.csv,3,2749.023986
G1_grand_008_1.csv,4,2655.550417
G1_grand_139_0.csv,1,2748.761867
G1_grand_771_1.csv,2,2999.056839
G1_grand_075_1.csv,4,2705.887677
G1_grand_927_0.csv,2,2711.391140
G1_grand_139_0.csv,3,2611.566006
G1_grand_000_0.csv,1,2711.332685
G1_grand_025_0.csv,0,2691.995810
G1_grand_735_6.csv,0,2708.604689
G1_grand_598_0.csv,2,2689.437087
G1_grand_008_1.csv,2,2702.314958
G1_grand_139_0.csv,2,2740.994476
G1_grand_598_0.csv,1,2687.991498
G1_grand_927_0.csv,1,2730.217842
G1_grand_179_0.csv,4,2745.331846
G1_grand_025_0.csv,3,2652.558117
G1_grand_000_0.csv,3,2830.316709
G1_grand_179_1.csv,1,2904.256912
G1_grand_735_1.csv,0,2621.886192
G1_grand_008_1.csv,3,2690.609112
G1_grand_139_0.csv,4,2720.477748
G1_grand_179_1.csv,4,3030.444302
G1_grand_598_0.csv,0,2687.590459
G1_grand_996_0.csv,3,2669.566217
G1_grand_308_1.csv,0,2632.468647
G1_grand_105_3.csv,1,2733.940045
G1_grand_179_1.csv,2,2622.427736
G1_grand_715_1.csv,1,2641.347269
G1_grand_179_0.csv,2,2638.082295
G1_grand_059_0.csv,2,2716.389721
G1_grand_008_1.csv,1,2690.507459
G1_grand_735_1.csv,4,2662.455927
G1_grand_059_0.csv,1,2652.694386
G1_grand_008_1.csv,0,2661.283567
G1_grand_075_1.csv,3,2758.075056
G1_grand_179_1.csv,0,2750.754612
G1_grand_124_2.csv,1,2649.345951
G1_grand_562_0.csv,1,2772.620833
G1_grand_124_2.csv,4,2676.673079
G1_grand_735_1.csv,1,2617.753020
G1_grand_308_0.csv,3,2710.126078
G1_grand_730_1.csv,2,2736.650326
G1_grand_179_0.csv,1,2962.996667
G1_grand_735_6.csv,1,2681.875407
G1_grand_735_6.csv,4,2595.250420
G1_grand_179_0.csv,3,2634.982356
G1_grand_124_4.csv,3,2866.635398
G1_grand_000_0.csv,2,2631.168430
G1_grand_996_0.csv,2,2788.470226
G1_grand_730_1.csv,4,2642.355117
G1_grand_179_1.csv,3,2696.030442
G1_grand_735_1.csv,2,2683.294000
G1_grand_139_0.csv,0,2731.803506
G1_grand_771_1.csv,0,2905.373452
G1_grand_771_1.csv,1,2758.301560
G1_grand_598_0.csv,3,2629.481424
G1_grand_308_1.csv,1,3028.090237
G1_grand_735_6.csv,2,2678.500539
G1_grand_105_3.csv,0,2689.873980
G1_grand_598_0.csv,4,2691.682967
G1_grand_771_1.csv,3,2735.650680
G1_grand_927_0.csv,4,2677.982314
G1_grand_975_0.csv,2,2812.704471
G1_grand_059_0.csv,3,2786.857553
G1_grand_075_1.csv,1,2697.189590
G1_grand_975_0.csv,1,2761.211594
G1_grand_562_0.csv,2,2659.558826
G1_grand_308_0.csv,4,2657.019881
G1_grand_730_1.csv,3,2742.169547
G1_grand_059_0.csv,0,2770.494967
G1_grand_075_1.csv,2,2685.823699
G1_grand_062_0.csv,0,2722.458896
G1_grand_025_0.csv,1,2738.999236
G1_grand_105_3.csv,2,2811.235694
G1_grand_975_0.csv,4,2703.516170
G1_grand_308_1.csv,3,2700.433836
G1_grand_025_0.csv,4,2724.604540
G1_grand_927_0.csv,0,2778.645631
G1_grand_771_1.csv,4,3049.006009
G1_grand_000_0.csv,0,2666.651067
G1_grand_124_4.csv,0,2736.839585
G1_grand_562_0.csv,3,2779.219026
G1_grand_730_1.csv,0,2702.157355
G1_grand_075_1.csv,0,2730.981859
G1_grand_540_0.csv,1,2701.999801
G1_grand_059_0.csv,4,2691.919343
G1_grand_308_1.csv,4,2773.893926
G1_grand_000_0.csv,4,2672.362069
G1_grand_927_0.csv,3,2657.606420
G1_grand_105_3.csv,4,2715.093083
G1_grand_105_3.csv,3,2700.400725
G1_grand_124_2.csv,0,2637.835077
G1_grand_219_1.csv,4,2843.285352
G1_grand_219_1.csv,3,2829.920106
G1_grand_025_0.csv,2,2780.573103
G1_grand_715_1.csv,0,2656.572375
G1_grand_562_0.csv,4,2723.093252
G1_grand_730_1.csv,1,2736.281059
G1_grand_179_0.csv,0,2609.490073
G1_grand_562_0.csv,0,2682.438549
G1_grand_219_1.csv,1,2899.208257
G1_grand_996_0.csv,4,2773.005184
G1_grand_124_2.csv,2,2672.425316
G1_grand_124_4.csv,4,2997.835818
G1_grand_062_0.csv,4,2751.336389
G1_grand_124_4.csv,2,2981.263441
G1_grand_540_0.csv,4,2714.375423
G1_grand_219_1.csv,0,2721.258171
G1_grand_062_0.csv,1,2626.925693
G1_grand_540_0.csv,0,2663.640377
G1_grand_715_1.csv,3,2747.372884
G1_grand_106_1.csv,2,3028.322492
G1_grand_308_0.csv,2,2789.973832
G1_grand_845_1.csv,2,2603.558169
G1_grand_540_0.csv,3,2664.012333
G1_grand_106_1.csv,0,2739.318423
G1_grand_124_2.csv,3,2652.491858
G1_grand_219_1.csv,2,2802.137882
G1_grand_975_0.csv,3,2709.815354
G1_grand_062_0.csv,3,2711.551153
G1_grand_308_0.csv,1,2896.283268
G1_grand_715_1.csv,2,2645.391805
G1_grand_540_0.csv,2,2678.667379
G1_grand_308_0.csv,0,2730.767063
G1_grand_106_1.csv,1,2680.533288
G1_grand_124_4.csv,1,2693.127678
G1_grand_308_1.csv,2,3066.094101
G1_grand_106_1.csv,3,2644.183448
G1_grand_346_0.csv,0,2612.706813
G1_grand_150_0.csv,1,2657.764318
G1_grand_150_0.csv,4,2762.869798
G1_grand_610_0.csv,4,2681.736483
G1_grand_062_0.csv,2,2637.292658
G1_grand_150_0.csv,3,2726.334521
G1_grand_106_1.csv,4,2775.809422
G1_grand_975_0.csv,0,2746.139247
G1_grand_236_1.csv,0,2772.560416
G1_grand_051_0.csv,0,2781.789404
G1_grand_262_1.csv,0,2724.682950
G1_grand_262_1.csv,2,2690.952294
G1_grand_408_1.csv,0,2735.795090
G1_grand_200_3.csv,3,2872.164474
G1_grand_408_1.csv,1,2659.722197
G1_grand_408_1.csv,2,2654.953785
G1_grand_078_0.csv,1,2734.873107
G1_grand_051_0.csv,3,2670.697693
G1_grand_408_1.csv,4,2733.222626
G1_grand_941_0.csv,1,2726.495283
G1_grand_539_1.csv,4,2888.786394
G1_grand_200_3.csv,2,2640.647159
G1_grand_150_0.csv,0,2775.293288
G1_grand_408_1.csv,3,2741.645894
G1_grand_610_0.csv,0,2683.743691
G1_grand_078_0.csv,3,2592.511936
G1_grand_262_1.csv,4,2736.106872
G1_grand_200_3.csv,0,2692.122081
G1_grand_941_0.csv,3,2791.657669
G1_grand_539_1.csv,3,2779.060012
G1_grand_941_0.csv,4,2618.864120
G1_grand_029_0.csv,3,2757.644585
G1_grand_236_1.csv,4,2712.121017
G1_grand_346_0.csv,4,2635.196591
G1_grand_539_1.csv,1,2646.268274
G1_grand_346_0.csv,2,2664.672676
G1_grand_845_1.csv,4,2902.217002
G1_grand_150_1.csv,3,2772.463443
G1_grand_029_0.csv,2,2716.232011
G1_grand_525_1.csv,1,2894.651350
G1_grand_262_1.csv,3,2751.689370
