STRUCTURE,ITERATION,COMPLETION_TIME
G1_grand_105_3.csv,4,776.344228
G1_grand_105_3.csv,3,659.738968
G1_grand_105_3.csv,0,763.666645
G1_grand_105_3.csv,2,663.206905
G1_grand_308_1.csv,2,906.146915
G1_grand_308_1.csv,4,891.642388
G1_grand_124_4.csv,2,919.744831
G1_grand_105_3.csv,1,690.550900
G1_grand_124_4.csv,1,931.636395
G1_grand_308_1.csv,3,889.499252
G1_grand_308_1.csv,1,895.959391
G1_grand_308_1.csv,0,847.064298
G1_grand_124_4.csv,0,863.380558
G1_grand_179_0.csv,0,992.501529
G1_grand_179_0.csv,2,791.328452
G1_grand_025_0.csv,0,824.618781
G1_grand_179_0.csv,3,934.934441
G1_grand_179_0.csv,4,972.242238
G1_grand_179_0.csv,1,891.426443
G1_grand_075_1.csv,1,725.170225
G1_grand_025_0.csv,4,827.266536
G1_grand_025_0.csv,2,881.201580
G1_grand_219_1.csv,1,814.183626
G1_grand_075_1.csv,3,739.705670
G1_grand_062_0.csv,0,731.265978
G1_grand_771_1.csv,0,844.789005
G1_grand_771_1.csv,3,913.269627
G1_grand_771_1.csv,1,885.928028
G1_grand_771_1.csv,2,925.351667
G1_grand_025_0.csv,3,871.340174
G1_grand_219_1.csv,2,924.084723
G1_grand_062_0.csv,2,724.525730
G1_grand_219_1.csv,0,810.498321
G1_grand_771_1.csv,4,943.189670
G1_grand_219_1.csv,4,842.523895
G1_grand_975_0.csv,1,855.472041
G1_grand_062_0.csv,4,743.265288
G1_grand_219_1.csv,3,790.274947
G1_grand_975_0.csv,0,863.000498
G1_grand_025_0.csv,1,836.014847
G1_grand_735_1.csv,1,794.805781
G1_grand_124_4.csv,4,967.640711
G1_grand_735_1.csv,2,923.969079
G1_grand_735_1.csv,3,826.725619
G1_grand_975_0.csv,3,878.397900
G1_grand_975_0.csv,2,845.734920
G1_grand_975_0.csv,4,742.766494
G1_grand_075_1.csv,0,732.099568
G1_grand_735_6.csv,3,887.959499
G1_grand_308_0.csv,0,953.655903
G1_grand_308_0.csv,3,858.172835
G1_grand_139_0.csv,0,819.719772
G1_grand_308_0.csv,2,925.097026
G1_grand_075_1.csv,4,791.870284
G1_grand_139_0.csv,2,784.133694
G1_grand_179_1.csv,1,895.644884
G1_grand_735_1.csv,0,838.218177
G1_grand_735_1.csv,4,863.086744
G1_grand_308_0.csv,1,955.984679
G1_grand_075_1.csv,2,723.582152
G1_grand_139_0.csv,4,943.057249
G1_grand_996_0.csv,0,757.024071
G1_grand_179_1.csv,0,875.867928
G1_grand_062_0.csv,3,671.238484
G1_grand_139_0.csv,3,958.134049
G1_grand_735_6.csv,1,790.466987
G1_grand_124_4.csv,3,922.966331
G1_grand_735_6.csv,0,829.117030
G1_grand_179_1.csv,3,1002.088921
G1_grand_735_6.csv,2,870.306680
G1_grand_996_0.csv,3,696.702915
G1_grand_008_1.csv,0,841.404616
G1_grand_008_1.csv,4,943.917040
G1_grand_008_1.csv,1,721.820103
G1_grand_598_0.csv,0,923.672744
G1_grand_008_1.csv,3,802.017063
G1_grand_598_0.csv,1,961.182630
G1_grand_179_1.csv,4,921.354519
G1_grand_735_6.csv,4,872.003149
G1_grand_598_0.csv,2,846.006482
G1_grand_008_1.csv,2,736.728059
G1_grand_139_0.csv,1,948.647809
G1_grand_598_0.csv,4,934.014044
G1_grand_562_0.csv,0,919.064060
G1_grand_062_0.csv,1,729.654108
G1_grand_562_0.csv,1,989.831208
G1_grand_562_0.csv,4,825.606845
G1_grand_124_2.csv,0,937.812212
G1_grand_562_0.csv,2,967.521719
G1_grand_124_2.csv,3,812.734821
G1_grand_927_0.csv,3,867.208714
G1_grand_996_0.csv,1,892.861483
G1_grand_996_0.csv,2,806.741573
G1_grand_000_0.csv,1,766.584366
