STRUCTURE,ITERATION,COMPLETION_TIME
G1_grand_735_6.csv,0,1029.639889
G1_grand_139_0.csv,3,1092.577894
G1_grand_735_6.csv,1,976.504540
G1_grand_139_0.csv,2,1032.701550
G1_grand_735_6.csv,4,1111.435016
G1_grand_139_0.csv,1,1014.955718
G1_grand_735_6.csv,2,1033.835223
G1_grand_139_0.csv,0,1117.869399
G1_grand_139_0.csv,4,1011.967264
G1_grand_179_1.csv,1,1034.460086
G1_grand_598_0.csv,2,1062.438168
G1_grand_598_0.csv,4,1095.403291
G1_grand_927_0.csv,3,993.733988
G1_grand_927_0.csv,4,1022.239412
G1_grand_735_1.csv,0,1022.838733
G1_grand_735_1.csv,3,1039.402905
G1_grand_735_6.csv,3,1120.042320
G1_grand_308_0.csv,2,1142.799200
G1_grand_075_1.csv,1,1074.259417
G1_grand_735_1.csv,1,1043.987157
G1_grand_179_0.csv,4,938.333612
G1_grand_562_0.csv,1,1013.852049
G1_grand_000_0.csv,1,817.520620
G1_grand_000_0.csv,2,1028.274066
G1_grand_000_0.csv,3,904.566962
G1_grand_000_0.csv,4,966.197205
G1_grand_730_1.csv,0,1128.784763
G1_grand_730_1.csv,2,1108.266659
G1_grand_075_1.csv,0,897.490960
G1_grand_179_0.csv,1,1090.500271
G1_grand_179_0.csv,3,1069.506938
G1_grand_771_1.csv,2,1106.903766
G1_grand_735_1.csv,4,1040.035770
G1_grand_996_0.csv,1,1015.930507
G1_grand_996_0.csv,2,869.119759
G1_grand_179_1.csv,0,935.696801
G1_grand_179_1.csv,2,1004.608132
G1_grand_179_1.csv,3,1035.344979
G1_grand_179_1.csv,4,1100.966542
G1_grand_598_0.csv,0,1169.666484
G1_grand_562_0.csv,2,1089.763268
G1_grand_562_0.csv,4,1106.133464
G1_grand_927_0.csv,0,1004.438262
G1_grand_000_0.csv,0,950.160967
G1_grand_996_0.csv,4,857.271122
G1_grand_598_0.csv,1,1126.330300
G1_grand_025_0.csv,2,1075.466514
G1_grand_996_0.csv,3,939.152397
G1_grand_598_0.csv,3,1018.175674
G1_grand_996_0.csv,0,905.752625
G1_grand_008_1.csv,3,792.601695
G1_grand_025_0.csv,0,1120.214931
G1_grand_059_0.csv,0,1049.126475
G1_grand_179_0.csv,2,1151.579962
G1_grand_025_0.csv,4,954.065646
G1_grand_927_0.csv,2,1084.222987
G1_grand_730_1.csv,1,1116.603485
G1_grand_730_1.csv,4,1083.266350
G1_grand_715_1.csv,1,868.947457
G1_grand_105_3.csv,1,972.057719
G1_grand_075_1.csv,2,1023.987835
G1_grand_075_1.csv,4,1002.890190
